CLASS_INDEX,CLASS_LABEL,CLASS_MEANING,CLASS_DESCRIPTION,CLASS_IMPORTANCE_SCORE,RELEVANCE_CLASS,,
7,aviation,Air Transportation Disruption,very recent breaking news on major air transportation accident or airport disruption,2,1,,
10,cybersecurity,Cybersecurity Disruption,very recent breaking news on major and large scale cyber attacks and security breaches causing transportation or logistics disruptions,2,1,,
15,domestic_unrest_violence,Domestic Political Unrest and Violence,"very recent breaking news on domestic political unrest, demonstrations and violence",2,1,,
8,extreme_weather,Extreme Weather Disruption,very recent breaking news on severe and extreme weather causing accidents or disruption,2,1,,
11,forced_labor,Forced Labor,very recent breaking news on forced labor and sweatshop,2,1,,
1,general_biz_trend,General News,"general political, social, business, economic reports, studies and trends",0,0,,
17,individual_accidents_tragedies,Individual accidents and strategies that are not relevant to large scale disruptions,news of individual accidents or tragedies without widespread implications,0,0,,
3,later_report,Warning News,"later reports or follow-up stories of past transportation disruption event, non-breaking-news",1,0,,
0,lawsuit_legal_insurance,General News,"lawsuits, legal or insurance impact follow-up report of past disruption events, non-breaking-news",0,0,,
2,leisure_other_news,General News,general interest leisure news or other news that could be related to supply chain and transportation,0,0,,
5,maritime,Maritime Transportation Disruption,very recent breaking news on major maritime transportation accidents or disruption,2,1,,
12,pandemics_large_scale_diseases,Pandemics,very recent breaking news on pandemics and large scale disease outbreaks that affect transportation and travel mobility in cities and transportation hubs,2,1,,
4,railway,Railway Transportation Disruption,very recent breaking news on major railway transportation accidents or disruption,2,1,,
9,strike,Strike Action Disruption,very recent breaking news on major and large scale worker strike actions and demonstration causing disruption,2,1,,
13,trade_war_embargos_bans,Bans,"very recent breaking news on trade and commodity bans, restrictions or embargos",2,1,,
16,transportation_trends_projects,Trends and project plans related to transportation,news of transportation trends or projects that are not disruptions in nature,0,0,,
14,war_conflict,War and Conflict,very recent breaking news on wars and conflicts events,2,1,,
6,warehouse_fire,Warehouse Disruption,very recent breaking news on warehouse and storage facilities disruption or destruction,2,1,,
18,general_medical_trend,General News,"general news on healthcare and medical topics, not urgent",0,0,,
,,,,,,,
