URI,class_name,title,text
2023-10-120207128,aviation,Indian plane makes emergency landing at Karachi airport,"Flight IX-192 was going to Amritsar from Dubai when health of a passenger worsened. The pilot of a private airline sought permission from the Air Traffic Controller (ATC) Later, the pilot was allowed to make an emergency landing on humanitarian grounds. After the passenger was cleared for air travel, the plane took off from Karachi at 2:25pm. The CAA confirmed that Indian airlines flight IX- 192 made its landing at the Jinnah International Airport at 12:19pm."
7783112207,aviation,KC-135 tanker jet crashes at Iowa airport; none injured,"A KC-135 Stratotanker aerial refueling jet crash-landed on a Sioux City runway. Five airmen from Iowa's 185th Air Refueling Wing were on the flight at the time. None were injured. It is unclear whether the landing gear did not deploy due to a mechanical failure or user error. The Air Force typically records several landing gear-related mishaps each year, according to accident data obtained by Air Force Times in 2022. Most qualify as Class C incidents, or those that because between 60,000 and 600,000 in damages."
7779393232,aviation,Washington DC's BWI Airport is SHUT DOWN,"Washington, DC's, BWI Airport was temporarily shut down while police launched an investigation into a phony bomb threat. Passengers trying to get to BaltimoreWashington International Thurgood Marshall Airport were blocked in standstill traffic for over an hour. Helicopters were spotted flying around the airport - and flights from BWI were being delayed. Police were investigating a bomb threat after a man told law enforcement that he had explosives in his car. One suspect is in custody - and the vehicle has now been cleared."
7779396471,aviation,Washington DC's BWI Airport is shut down as cops launch investigation,"BaltimoreWashington International Thurgood Marshall Airport temporarily shut down. Police are investigating a bomb threat - and one man is in custody. Flights from BWI are currently being delayed. All trains on the Maryland Transit and Light Rail service will not be stopping at the airport. Instead, Light Rail will terminate at Cromwell Station until further notice. It is currently unclear what has caused the investigation. This comes hours after TSA announced that officers at BaltimoreWashington international airport caught a truffle. The airport said in a statement: 'Law enforcement continues to investigate vehicle on lower level roadway near terminal'"
7779431708,aviation,Luton Airport car park may have to be demolished after major fire,"The fire took hold of the multi-storey car park, which was opened in 2019. It resulted in travel chaos, with the runway closed and flights cancelled. More than 140 flights were cancelled, with an estimated 40,000 travellers affected. Eyewitnesses said they heard several explosions before seeing huge flames. Bedfordshire Fire and Rescue Service also revealed the car park did not include a sprinkler system. Under building regulations, these types of car parks do not require sprinklers. A spokesman for Luton Airport said that it was working with emergency services to understand the next steps."
7779427932,aviation,Suspect arrested after bomb threat shuts down BWI Airport: report,"The suspect parked their car at a curb outside the airport and threatened officials, claiming to have a bomb inside their vehicle. All vehicular traffic into the airport was stopped, causing a massive backup. Air traffic controllers briefly held a departing flight due to an emergency situation, CNN reported. The incident also caused the closure of two security checkpoints in the main terminal. After approximately one hour, the vehicle was cleared and the road was reopened to traffic. The Maryland Transit Administration briefly suspended Light Rail service to the airport."
7779004433,aviation,Simon Calder issues advice on Luton Airport fire chaos - from travel insurance to flight compensation,"More than 100 firefighters battled through the night to extinguish the car park inferno, which left tens of thousands of passengers facing cancelled or diverted flights. Car Park 2 was the one that had the fire, but Car Park 1 is adjacent and its entranceexit is blocked by the damage and recovery work. Many stranded travellers have been left wondering whether they can claim compensation and what airlines are required to do to help them. Others are understandably concerned about the state of their vehicles that were in or near the burning car park. The key airlines at Luton are doing all they can to make sure they can operate full schedules to and from the airport from Thursday onwards."
7777967480,aviation,Simon Calder: How does Luton Airport fire affect passengers?,"A fire in Terminal Car Park 2 has resulted in partial structural collapse. All flights are suspended until 12pm on Wednesday 11 October. Passengers are advised not to travel to the airport at this time. Ten outbound departures were cancelled on Tuesday evening, including flights which had already been boarded. On Wednesday morning, 85 planes were due to depart by 12 noon when the airport may re-open. With the inbound cancellations, that means a total of 170 flights have been cancelled. About 30,000 passengers have been impacted, adding in last night's cancelled and diverted flights."
7778200313,aviation,Luton airport latest: All flights suspended until 3pm after huge car park fire,"Flames ripped through the third floor of the airport's Terminal Car Park 2. A major incident was declared as the airport was closed with all flights suspended. Five people, including four firefighters, were admitted to hospitals in Luton and Dunstable for smoke inhalation. Some planes bound for Luton diverted to other airports. Luton Airport officials said all flights would remain suspended until 3pm on Wednesday. Initially, it was hoped flights could resume from midday on Tuesday. Follow the latest developments below."
7775103723,aviation,Ben Gurion Airport Stays Open as Foreign Airlines Cancel Flights,"Both Ben Gurion airport and Ramon airport near Eilat are open and operating for both inbound and outbound flights. Many foreign carriers including Lufthansa, Air France and Wizz Air have cancelled all flights to and from Israel. Passengers wishing to cancel flights can do so within 14 business days of booking the flight but are required to pay a 5 or NIS 100 cancellation fee. Extra flights have been added to Bucharest, Prague and Athens for Israelis wishing to return home."
7774723379,aviation,'Chaotic Scenes' as Storm Koinu Shuts Down Rail Link at Hong Kong Airport,"Thousands of travelers were stuck for hours at Hong Kong International Airport on Sunday, October 8. A train link was shut down when the Hong Kong Observatory raised its typhoon alert warning. The alert level was raised as the remnants of Typhoon Koinu lashed Hong Kong. As a result of the train shutdown, taxi waits stretched to up to five hours, the South China Morning Post (SCMP) said. The airport became more and more packed as the typhoon moved across the western coast of China's Guangdong province."
7775421116,aviation,Hamburg Airport closed after bomb scare. Know in detail what happened,Hamburg Airport in Germany came to a standstill for about 90 minutes on Monday. Authorities suspended all flights after they received a credible threat to a specific flight coming from Tehran. German Air Force claims to have escorted a civilian airplane after a bomb scare. The airport authorities also received an email containing a serious threat. Know the entire incident. The bomb scare came at a time when more than one thousand people have been killed and thousands of others have been injured in the battle between Israel Defense Forces and Hamas.
7774610805,aviation,Shannon Airport closes because of heavy fog as flights cancelled and diverted,"Dense fog forced airport authorities to close the airport after visibility dropped below safe operating limits last night. All outbound service were immediately cancelled while any flights were advised of the situation and diverted to Dublin Airport. Flights in and an out of Shannon remain cancelled this morning while the airport is not expected to reopen until later this morning when weather conditions improve. It is very rare that Shannon is forced to closed as a result of poor visibility and is usually the airport that handles flights from Cork, Knock and Dublin airports."
