,URI,TOPIC,TEXT,RELEVANCE_CLASS
0,7501230662,warehouse_fire,"Fire destroys Sangre Grande block factory, houseFire destroyed a block factory in Sangre Grande earlier in the day",1
1,7501230662,warehouse_fire,Losses were said to be millions of dollars,1
2,7501230662,warehouse_fire,Owner of the Pallet and Brick Factory claimed fire officers took more than an hour to respond and when they arrived they went into the compound of XTRA Foods,1
3,7501230662,warehouse_fire,He said by the time the fire officers arrived on his compound the entire warehouse and one house was engulfed in flames,1
4,7501230662,warehouse_fire,"However, the officers contained the fire from spreading to nearby houses with the assistance of fire appliances from Arima.",1
5,7463581898,marine,Another rail strike in Germany to add to European freight troubles - The LoadstarRail strike in Germany expected to cause delays and rail freight disruptions,1
6,7463581898,marine,"Latest action follows a port pilots' strike, which ended this morning",1
7,7463581898,marine,"Yesterday's protests in France caused disruption to freight, according to ferry operator DFDS",1
8,7463581898,marine,"In the UK, a port of Dover spokeperson advised: The port is still open, with minimal disruption expected",1
9,7463581898,marine,"Please plan ahead, allow extra time for your journey and check with your ferry operator before travelling",1
10,7463581898,marine,"For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or click here.",1
11,7423435602,strike,The schools in Wales that will shut during teacher strike on ThursdayTeachers will walk out for a second time on March 2 over pay and funding,0
12,7423435602,strike,Councils admit the full picture of school closures will not be known until the day of the strike but have begun to publish lists,0
13,7423435602,strike,Parents are being advised to contact their child's school and check media and schools' social media for the latest up-to-date information,0
14,7423435602,strike,Two further strike days are planned for March 15 and 16,0
15,7423435602,strike,A work to rule by school leaders means heads will not provide cover for striking teachers.,0
16,7484807959,weather_naturalevent,478 tornado reports across 25 states: How a mild winter led to destructionThere have been at least 478 tornado reports this year across 25 states as of Wednesday,0
17,7484807959,weather_naturalevent,Only 2017 and 2008 had more at this point in the year,0
18,7484807959,weather_naturalevent,Warmer-than-usual winters create the type of atmospheric instability in early spring,0
19,7484807959,weather_naturalevent,"This dynamic is why tornadoes in the South occur more commonly in the cooler months, from late fall through winter and into early spring, experts say",0
20,7484807959,weather_naturalevent,"It is also why this part of the country may become more vulnerable as the world warms, they say.",0
21,7456293041,marine,West coast ports suffering as US container imports plunge by 37 - The LoadstarUS container imports in February were massively down from the highs of the previous year,0
22,7456293041,marine,US west coast ports in particular suffered a huge 37 drop,0
23,7456293041,marine,"The port of Los Angeles saw a startling 41.2 collapse in container imports, to 249,407 teu, demoting it to third in the import rankings behind New YorkNew Jersey and Long Beach",0
24,7456293041,marine,"US warehouses remain largely full, retailers must clear inventory levels before the next wave of imports arrive, but older inventories are simply not moving fast enough.",0
25,7501458873,marine,Argentina Grains Inspectors Strike Halts Shipments at Rosario PortsArgentina grains inspectors have launched a 24-hour strike that is halting shipments at key river ports in farm transport hub Rosario,1
26,7501458873,marine,The strike by the Urgara grains inspectors union is linked to conflicts over a port in the city of Buenos Aires and what it says are high taxes applied to workers' salaries,1
27,7501458873,marine,"Argentina is the world's top exporter of soybean oil and meal, the third largest in corn, and a key supplier of wheat",1
28,7501458873,marine,The measure was preventing ships being loaded.,1
29,7412541613,air,"Man caused false alarm by flying drone into critical area at Dublin Airport, court toldAinis Guzauskas (41) is charged with one offence under the Air Navigation and Transport Act 1988",1
30,7412541613,air,He is accused of knowingly causing a false alarm by flying an unmanned aerial system (drone) into the critical area of Dublin Airport,1
31,7412541613,air,"The offence is alleged to have happened at Naul Road on July 2, 2022",1
32,7412541613,air,Judge John Hughes adjourned the case for the directions of the DPP to be given,1
33,7412541613,air,"He granted bail in the accused's own bond of 500, with no cash lodgement or surety required.",1
34,7405996862,air,Passengers took a 16-hour flight to nowhere after their plane to New York YOU-turned because of an electrical fire at JFK AirportAn Air New Zealand flight bound for New York on Thursday was forced to make a YOU-turn and head back to Auckland Airport in New Zealand,1
35,7405996862,air,"An electrical failure in the terminal caused an outage and a small isolated fire, per JFK Airport",1
36,7405996862,air,Passengers spent 16 hours on the plane only to return to the airport where they took off,1
37,7405996862,air,"The incident meant that inbound and outbound flights were affected, the airport tweeted on Thursday, and remained shut on Friday",1
38,7405996862,air,The Air New NZ spokesperson said the airline apologized for the disruption caused.,1
39,7429684620,air,KLM sues Dutch govt over Amsterdam airport flight capDelta Air Lines Inc and EasyJet Plc are among airlines joining forces with KLM,0
40,7429684620,air,The Dutch government announced last year it is planning cut the Amsterdam hub's flight capacity in a bid to reduce noise pollution,0
41,7429684620,air,"KLM said the government's decision to cut back operations is unnecessary and violates national, European and international legislation",0
42,7429684620,air,"Last month, Air France-KLM's Chief Executive Officer Ben Smith warned limiting capacity at Schiphol would hurt the Dutch economy",0
43,7429684620,air,The brewing confrontation comes amid increasingly tense relationship between airports and airlines.,0
44,7474622430,weather_generalnews,"Delhi Sees Heavy Rain, Waterlogging In Several AreasSeveral parts of Delhi saw waterlogging on Friday morning",1
45,7474622430,weather_generalnews,"Earlier on Thursday, rain coupled with thunderstorms lashed parts of the national capital",1
46,7474622430,weather_generalnews,"In view of the poor weather conditions, nine flights were diverted from Delhi to Jaipur airport on Wednesday",1
47,7474622430,weather_generalnews,"The weather forecast says light-intensity raindrizzle will occur over and adjoining areas of Yamunanagar, Kurukshetra, Karnal, Rajaund, Assandh, Safidon, Gohana, Rohtak, Mahendargarh.",1
48,7398421085,air,Heathrow airport enjoys best start since CovidHeathrow airport has enjoyed its best start to the year since before the coronavirus pandemic,0
49,7398421085,air,"More than 5.4 million passengers passed through the hub in January, touching a level not seen since the start of 2020",0
50,7398421085,air,"Demand also rebounded after severe disruption in the run-up to Christmas, when Border Force staff went on strike over pay",0
51,7398421085,air,The hub added Monday that it welcomed recent news that British Airways and Virgin Atlantic will restart flights to China in the spring after the Asian giant fully lifted its zero Covid restrictions.,0
52,7459106841,marine,Product Tanker Burning off Portuguese CoastPortuguese authorities are working to control a fire aboard a product tanker off the coast while they are also hoping to tow the ship further out to sea,1
53,7459106841,marine,"So far, the fire is believed contained in the aft end of the vessel not reaching its cargo of jet fuel and diesel and there has not been an oil leak",1
54,7459106841,marine,The product tanker is being used to shuttle fuel supplies from neighboring Sines to Leixes,1
55,7459106841,marine,"According to the reports, the local refinery closed leaving the region dependent on tankers for their fuel supply.",1
56,7479329709,marine,"French Oil Refinery Strikes to Tighten Gasoil SuppliesAt least 900,000 barrels per day (BBLd) of France's 1.15 million BBLd refinery capacity is offline due to strike action",0
57,7479329709,marine,This has a supporting impact on refined product prices and a weakening impact on regional crude prices,0
58,7479329709,marine,"European gasoil (diesel) stocks increased in preparation for the shutoff of Russian supplies, hitting a 15-month high at the beginning of the year",0
59,7479329709,marine,"Gasoil stocks declined last week, but stocks remained higher year on year, as Europe is going through stocks built up before 5 February.",0
60,7507227834,warehouse_fire,"India News  Fire at Play School in Gurugram, None Hurt  LatestLYA major fire broke out at a play school-cum-day care that was allegedly being run illegally in a house in Gurugram",0
61,7507227834,warehouse_fire,No student was on the premises at the time of the fire as the school hours were over,0
