URI,class_name,title,text
7405996862,aviation,Passengers took a 16-hour flight to nowhere after their plane to New York YOU-turned because of an electrical fire at JFK Airport,"An Air New Zealand flight bound for New York on Thursday was forced to make a YOU-turn and head back to Auckland Airport in New Zealand. An electrical failure in the terminal caused an outage and a small isolated fire, per JFK Airport. Passengers spent 16 hours on the plane only to return to the airport where they took off. The incident meant that inbound and outbound flights were affected, the airport tweeted on Thursday, and remained shut on Friday. The Air New NZ spokesperson said the airline apologized for the disruption caused."
7402259886,aviation,Frankfurt airport halts most landings amid Lufthansa IT problems  7 points,Lufthansa forced to cancel or delay flights across its airlines. Air traffic control agency forced to divert or cancel all flights away from Frankfurt airport. Airline's aircraft could no longer depart from Frankfurt Airport. This meant no parking positions were available for other aircraft. Frankfurt Airport said that technical problems were causing flight disruptions and cancellations. Please check the status of your flight before traveling to the airport and allow extra time for your journey. We also recommend that you check in as early as possible for your flight.
7412762767,aviation,Drone activity leads to flight disruption at Dublin Airport on Tuesday evening,"Small unmanned aircraft was first spotted on the north side of the airport campus. The disruption lasted from exactly 8.22pm to 8.52pm. No flights were diverted from the airport during the 30 minute suspension. An unknown number of flights were grounded in the UK, but it remains too early to ascertain any potential knock-on effects to schedules. Later, management tweeted: ...we would remind drone users that it is illegal to fly a drone within 5km of Dublin Airport. Severe punishments must follow for anyone found guilty."
7430022659,aviation,"All flights grounded at airport near Penn State University over suspicious device, 100 passengers bused to campus  CNN","NEW: The Federal Aviation Administration issues a ground stop for the airport. A suspicious looking item was detected by TSA officers in a checked back. The immediate area was evacuated and a perimeter established. About 100 passengers were bused to the nearby Penn State University campus, where they were offered shelter and given food. The airport closure took place as Penn State students were gearing up for their Spring Break travel plans next week.. The general passenger terminal at the airport was evacuated out of an abundance of caution, police said."
7436851985,aviation,Flights diverted to Birmingham Airport as heavy snow hits UK,"Planes from Bristol Airport were suspended due to adverse weather conditions until 11am on March 8. At least 27 flights which were due to depart from the airport on Wednesday morning were affected. Birmingham Airport was running as normal and said they were well prepared to deal with any disruption caused by the snow. Mainly light snow has fallen across parts of Birmingham, the Black Country and Staffordshire today. A severe weather alert has been issued by the National Highways. It says that snow will continue to affect the West Midlands from 3pm to midnight."
7434753160,aviation,Pre-Dawn Israeli Airstrike Knocks Out Airport In Syria's 2nd City,"Israeli warplanes struck Aleppo airport before dawn Tuesday, causing significant damage. The airport has been a major conduit for aid flights since a February 6 earthquake devastated swathes of southeastern Turkey and neighbouring Syria. Israel has attacked Aleppo airport several times in recent years, with a strike last September putting it out of service for a few days. It marked the second Israeli attack on government-held areas since the devastating quake struck Turkey and Syria, killing more than 50,000 people in the two countries. On February 19, an Israeli strike killed 15 people in a Damascus district housing state security agencies."
7434329613,aviation,Syria to re-route quake aid flights after strike on Aleppo airport  Business,"Syria's transport ministry said on Tuesday it would re-route flights carrying earthquake aid following an overnight aerial attack. It said flights would now land in either Damascus or Latakia airports. Dozens of planes carrying aid from the Middle East, Europe and further afield have landed in Syria following the devastating February 6 earthquakes. Syrian state media said Israel carried out the attack on the northern airport. The Israeli military declined to comment on the claim. The attack put Aleppo International Airport out of commission on Monday."
7788634813,aviation,Airlines rage about bank holiday Monday air-traffic control meltdown,"Main and back-up computer systems that normally assist air-traffic controllers failed around 8.30am on the morning of 28 August 2023. The failures led to more than 2,000 flight cancellations, affecting over 300,000 passengers. The because was later found to be a rogue flight plan for a French aircraft flying from Los Angeles to Paris, which contained duplicate waypoints. Nats engineers solved the previously unknown problem about eight hours later. Mr O'Leary described the Nats boss as vastly overpaid and incompetent and said Mr Rolfe should resign or be sacked."
7788281177,aviation,Lille Airport In France Evacuated Due To Bomb Scare,"The Lille airport in northern France is being evacuated due to a bomb scare. State security teams are on site, the airport said. France is on its highest state of alert after the October 13 murder of a teacher in a suspected Islamist attack. On Tuesday, the Palace of Versailles, one of France's main tourist sites, was closed for a few hours, due to its second security scare in four days. The airport said on Wednesday on social media platform X that it was being evacuated."
7788114805,aviation,Lille airport in northern France evacuated due to bomb scare  Technology,"Lille airport in northern France is being evacuated due to a bomb scare. State security teams are on site, the airport said. On Tuesday, the Palace of Versailles, one of France's main tourist sites, was closed for a few hours, due to its second security scare in four days. France is on its highest state of alert after the October 13 murder of a teacher in a suspected Islamist attack. The Toulouse, Nice and Lyon airports were also evacuated on Wednesday due to security alerts."
7787168971,aviation,Suspicious package on plane forces closure at Manchester airport,"Manchester airport forced to close its airfield on Tuesday evening. Police investigated an Emirates flight after reports of a suspicious package. Aircraft took off at about 2.30pm from Dubai and landed at 7.55pm. Greater Manchester police said no suspicious items had been discovered. Passengers have now disembarked the aircraft with extra officers on hand to answer any questions and offer visible reassurance. No arrests have been made at this stage, police said. Emirates airline said crew and ground teams cooperated fully with the authorities."
