,URI,TOPIC,TITLE,TEXT,RELEVANCE_CLASS
0,7501230662,warehouse_fire,"Fire destroys Sangre Grande block factory, house",Fire destroyed a block factory in Sangre Grande earlier in the day,1
1,7501230662,warehouse_fire,"Fire destroys Sangre Grande block factory, house",Losses were said to be millions of dollars,1
2,7501230662,warehouse_fire,"Fire destroys Sangre Grande block factory, house",Owner of the Pallet and Brick Factory claimed fire officers took more than an hour to respond and when they arrived they went into the compound of XTRA Foods,1
3,7501230662,warehouse_fire,"Fire destroys Sangre Grande block factory, house",He said by the time the fire officers arrived on his compound the entire warehouse and one house was engulfed in flames,1
4,7501230662,warehouse_fire,"Fire destroys Sangre Grande block factory, house","However, the officers contained the fire from spreading to nearby houses with the assistance of fire appliances from Arima.",1
5,7463581898,marine,Another rail strike in Germany to add to European freight troubles - The Loadstar,Rail strike in Germany expected to cause delays and rail freight disruptions,1
6,7463581898,marine,Another rail strike in Germany to add to European freight troubles - The Loadstar,"Latest action follows a port pilots' strike, which ended this morning",1
7,7463581898,marine,Another rail strike in Germany to add to European freight troubles - The Loadstar,"Yesterday's protests in France caused disruption to freight, according to ferry operator DFDS",1
8,7463581898,marine,Another rail strike in Germany to add to European freight troubles - The Loadstar,"In the UK, a port of Dover spokeperson advised: The port is still open, with minimal disruption expected",1
9,7463581898,marine,Another rail strike in Germany to add to European freight troubles - The Loadstar,"Please plan ahead, allow extra time for your journey and check with your ferry operator before travelling",1
10,7463581898,marine,Another rail strike in Germany to add to European freight troubles - The Loadstar,"For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or click here.",1
11,7423435602,strike,The schools in Wales that will shut during teacher strike on Thursday,Teachers will walk out for a second time on March 2 over pay and funding,0
12,7423435602,strike,The schools in Wales that will shut during teacher strike on Thursday,Councils admit the full picture of school closures will not be known until the day of the strike but have begun to publish lists,0
13,7423435602,strike,The schools in Wales that will shut during teacher strike on Thursday,Parents are being advised to contact their child's school and check media and schools' social media for the latest up-to-date information,0
14,7423435602,strike,The schools in Wales that will shut during teacher strike on Thursday,Two further strike days are planned for March 15 and 16,0
15,7423435602,strike,The schools in Wales that will shut during teacher strike on Thursday,A work to rule by school leaders means heads will not provide cover for striking teachers.,0
16,7484807959,weather_naturalevent,478 tornado reports across 25 states: How a mild winter led to destruction,There have been at least 478 tornado reports this year across 25 states as of Wednesday,0
17,7484807959,weather_naturalevent,478 tornado reports across 25 states: How a mild winter led to destruction,Only 2017 and 2008 had more at this point in the year,0
18,7484807959,weather_naturalevent,478 tornado reports across 25 states: How a mild winter led to destruction,Warmer-than-usual winters create the type of atmospheric instability in early spring,0
19,7484807959,weather_naturalevent,478 tornado reports across 25 states: How a mild winter led to destruction,"This dynamic is why tornadoes in the South occur more commonly in the cooler months, from late fall through winter and into early spring, experts say",0
20,7484807959,weather_naturalevent,478 tornado reports across 25 states: How a mild winter led to destruction,"It is also why this part of the country may become more vulnerable as the world warms, they say.",0
21,7456293041,marine,West coast ports suffering as US container imports plunge by 37 - The Loadstar,US container imports in February were massively down from the highs of the previous year,0
22,7456293041,marine,West coast ports suffering as US container imports plunge by 37 - The Loadstar,US west coast ports in particular suffered a huge 37 drop,0
23,7456293041,marine,West coast ports suffering as US container imports plunge by 37 - The Loadstar,"The port of Los Angeles saw a startling 41.2 collapse in container imports, to 249,407 teu, demoting it to third in the import rankings behind New YorkNew Jersey and Long Beach",0
