,class_name,text,aviation,cybersecurity,domestic_unrest_violence,extreme_weather,forced_labor,general_biz_trend,individual_accidents_tragedies,later_report,lawsuit_legal_insurance,leisure_other_news,maritime,pandemics_large_scale_diseases,railway,strike,trade_war_embargos_bans,transportation_trends_projects,war_conflict,warehouse_fire,class_index,label
0,domestic_unrest_violence,"Buenos Aires, Argentina, grappled with civic unrest as citizens protested against economic austerity measures. The demonstrations, marked by clashes with security forces, exposed the deepening economic challenges facing the South American nation.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1,aviation,A drone sighting near Amsterdam's Schiphol Airport on February 2nd led to the suspension of all flight operations. The incident reignited discussions about the need for effective counter-drone technologies in airport security.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2,strike,"Employees from the entertainment industry are on strike, demanding fair compensation and improved working conditions for actors, musicians, and other creative professionals. The Entertainment Workers Alliance has organized the protest, disrupting the production and distribution of music, films, and television shows.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
3,individual_accidents_tragedies,"The tranquil neighborhood of Cedarwood was shaken by a house fire that took the life of elderly resident Mrs. Margaret Foster. Firefighters battled the blaze for hours, but the intensity of the flames hindered their efforts to save the beloved community member.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
4,leisure_other_news,"Adventure seekers in Summit Peaks are gearing up for the first-ever ""Peak-to-Peak Zip Line Challenge,"" connecting two mountain peaks with a thrilling zip line experience. This adrenaline-pumping event promises breathtaking views and an unforgettable journey through the skies.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
5,domestic_unrest_violence,"Cape Town, South Africa, grappled with social unrest as citizens protested against inadequate government response to a public health crisis. The demonstrations brought attention to the intersection of healthcare, governance, and societal well-being.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,extreme_weather,"A rare and powerful waterspout is spotted off the coast of Whirlpool Bay, causing concern among maritime authorities. Boats and ships are advised to steer clear of the area as the waterspout moves unpredictably across the ocean.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
7,war_conflict,"The city of Emberfall is under siege as rebel forces attempt to overthrow the government. With widespread power outages and communication disruptions, the full extent of the crisis is yet to be revealed.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
8,railway,"Disaster struck the iconic Rocky Mountaineer as it derailed during a scenic journey through the Canadian Rockies. The incident, believed to be caused by a landslide, resulted in numerous injuries and left passengers stranded in remote mountainous terrain.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
9,extreme_weather,An electrical storm in Thunderburg triggers power outages and disrupts communication networks. Residents are advised to take precautions against lightning strikes as the storm moves through the urban area.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
